x,y
-27.49259667,81.00889406
-27.69240236,81.00007147
-27.89217544,80.99055081
-28.09198691,80.98186053
-28.29180821,80.97341355
-28.49160986,80.96450595
-28.69141500,80.95568292
-28.89119121,80.94622316
-29.09094544,80.93631258
-29.29069725,80.92635413
-29.49041125,80.91565633
-29.69013728,80.90518768
-29.88991213,80.89570503
-30.08971658,80.88686281
-30.28952373,80.87808205
-30.48933926,80.86949422
-30.68915151,80.86082742
-30.88894341,80.85171029
-31.08869361,80.84171280
-31.28841722,80.83120051
-31.48814120,80.82069620
-31.68786946,80.81027422
-31.88759003,80.79970566
-32.08726164,80.78824437
-32.28695702,80.77721920
-32.48670163,80.76711420
-32.68645294,80.75713880
-32.88617965,80.74669045
-33.08588620,80.73585962
-33.28558451,80.72487977
-33.48530275,80.71426102
-33.68500858,80.70343051
-33.88469384,80.69221634
-34.08435911,80.68064933
-34.28402314,80.66907103
-34.48374104,80.65844905
-34.68345209,80.64770344
-34.88317252,80.63713105
-35.08290417,80.62677471
-35.28262616,80.61623331
-35.48231379,80.60505490
-35.68200242,80.59390222
-35.88171998,80.58327757
-36.08143145,80.57253666
-36.28111776,80.56134309
-36.48078522,80.54981365
-36.68045193,80.53827293
-36.88015835,80.52743835
-37.07988865,80.51705054
-37.27959466,80.50621370
-37.47932202,80.49577245
-37.67905888,80.48551580
-37.87877132,80.47479639
-38.07846621,80.46375314
-38.27820214,80.45347694
-38.47792439,80.44294530
-38.67759670,80.43150200
-38.87726327,80.41994725
-39.07698157,80.40934643
-39.27671542,80.39903266
-39.47642339,80.38822822
-39.67612436,80.37729532
-39.87580900,80.36606884
-40.07550109,80.35497671
-40.27520602,80.34410946
-40.47488588,80.33280184
-40.67457339,80.32163385
-40.87429656,80.31110247
-41.07401017,80.30040582
-41.27370883,80.28943056
-41.47341727,80.27863701
-41.67313299,80.26797844
-41.87282483,80.25687975
-42.07252073,80.24585600
-42.27219053,80.23436580
-42.47186512,80.22296113
-42.67154046,80.21157021
-42.87120714,80.20002836
-43.07087480,80.18850187
-43.27056261,80.17733435
-43.47027161,80.16654616
-43.66993252,80.15491357
-43.86959433,80.14329149
-44.06929261,80.13230450
-44.26894762,80.12056424
-44.46860846,80.10892611
-44.66829273,80.09768919
-44.86796154,80.08617968
-45.06766006,80.07520586
-45.26733350,80.06377945
-45.46697537,80.05181624
-45.66660689,80.03967982
-45.86626712,80.02802818
-46.06592081,80.01626368
-46.26555697,80.00420371
-46.46521803,79.99256672
-46.66488647,79.98105443
-46.86453927,79.96927596
-47.06419064,79.95747157
-47.26387396,79.94622267
-47.46356073,79.93503276
-47.66323120,79.92355653
-47.86289192,79.91191096
-48.06256614,79.90050225
-48.26225393,79.88933040
-48.46191839,79.87775211
-48.66156048,79.86578948
-48.86120800,79.85392130
-49.06087873,79.84245002
-49.26058460,79.83160879
-49.46030566,79.82104916
-49.66000775,79.81013721
-49.85970693,79.79917156
-50.05941331,79.78833828
-50.25913020,79.77770014
-50.45885264,79.76716725
-50.65857714,79.75667338
-50.85829235,79.74600455
-51.05800956,79.73537186
-51.25774778,79.72514463
-51.45750945,79.71538207
-51.65726596,79.70551716
-51.85701522,79.69550513
-52.05677133,79.68563129
-52.25653111,79.67583186
-52.45629780,79.66617413
-52.65606857,79.65660132
-52.85583675,79.64697462
-53.05560341,79.63731561
-53.25539050,79.62808689
-53.45520889,79.61956607
-53.65503281,79.61117699
-53.85482370,79.60203361
-54.05461670,79.59293727
-54.25443481,79.58440672
-54.45426478,79.57616279
-54.65408548,79.56769317
-54.85391216,79.55936764
-55.05375444,79.55142802
-55.25360838,79.54378581
-55.45348041,79.53663009
-55.65336817,79.52992980
-55.85325243,79.52312625
-56.05312943,79.51611232
-56.25301131,79.50923991
-56.45289591,79.50244615
-56.65279550,79.49611297
-56.85269898,79.48989708
-57.05259777,79.48353555
-57.25250352,79.47739260
-57.45242841,79.47191596
-57.65236668,79.46694482
-57.85229278,79.46151008
-58.05219917,79.45539205
-58.25209634,79.44897836
-58.45200913,79.44307562
-58.65193433,79.43760183
-58.85182839,79.43110014
-59.05173246,79.42491783
-59.25167725,79.42020571
-59.45163929,79.41626631
-59.65159672,79.41215934
-59.85153890,79.40734953
-60.05148402,79.40267041
-60.25143238,79.39812387
-60.45135557,79.39258947
-60.65124860,79.38603738
-60.85115450,79.37989521
-61.05109151,79.37488832
-61.25103545,79.37015558
-61.45095821,79.36460181
-61.65089020,79.35940039
-61.85085449,79.35560476
-62.05081358,79.35152751
-62.25075253,79.34658631
-62.45067448,79.34099825
-62.65060009,79.33554567
-62.85052895,79.33021106
-63.05044066,79.32427053
-63.25034293,79.31801751
-63.45026344,79.31237240
-63.65020571,79.30758206
-63.85015693,79.30314650
-64.05010002,79.29836326
-64.25002304,79.29282042
-64.44994105,79.28709523
-64.64986550,79.28158584
-64.84977981,79.27574197
-65.04966942,79.26909579
-65.24955708,79.26239549
-65.44946027,79.25616972
-65.64937416,79.25030082
-65.84929000,79.24449960
-66.04920071,79.23852384
-66.24910968,79.23249042
-66.44901875,79.22645898
-66.64891586,79.22004701
-66.84881120,79.21357689
-67.04871909,79.20750575
-67.24863007,79.20154143
-67.44852669,79.19510794
-67.64842234,79.18864737
-67.84832758,79.18249210
-68.04823984,79.17656940
-68.24814988,79.17056889
-68.44804515,79.16410098
-68.64793119,79.15734234
-68.84782745,79.15090719
-69.04774079,79.14501928
-69.24764755,79.13891376
-69.44754973,79.13265829
-69.64746144,79.12671827
-69.84738257,79.12109948
-70.04730293,79.11545741
-70.24721588,79.10955315
-70.44712885,79.10365099
-70.64705448,79.09819941
-70.84697708,79.09263485
-71.04689002,79.08673616
-71.24679916,79.08070646
-71.44670594,79.07460206
-71.64660806,79.06834342
-71.84651897,79.06237292
-72.04644314,79.05686115
-72.24636208,79.05117317
-72.44626624,79.04498170
-72.64616907,79.03874793
-72.84607427,79.03259020
-73.04598656,79.02666858
-73.24590016,79.02079031
-73.44581350,79.01490448
-73.64572979,79.00911772
-73.84564324,79.00323497
-74.04556636,78.99768929
-74.24548855,78.99211111
-74.44540987,78.98650146
-74.64532692,78.98074204
-74.84523714,78.97475053
-75.04514533,78.96869065
-75.24505686,78.96274208
-75.44497373,78.95697637
-75.64489267,78.95128294
-75.84480982,78.94552637
-76.04472271,78.93962403
-76.24463685,78.93376536
-76.44455777,78.92813852
-76.64447812,78.92249304
-76.84438886,78.91652005
-77.04430377,78.91068610
-77.24422170,78.90495639
-77.44413886,78.89920110
-77.64405520,78.89341691
-77.84397432,78.88772909
-78.04389478,78.88208804
-78.24382067,78.87664588
-78.44374972,78.87131612
-78.64366683,78.86556542
-78.84357114,78.85937322
-79.04348156,78.85339361
-79.24340379,78.84781079
-79.44331854,78.84197198
-79.64322940,78.83600075
-79.84313894,78.82998707
-80.04305406,78.82415604
-80.24298213,78.81878851
-80.44292322,78.81393436
-80.64286289,78.80902237
-80.84279785,78.80392215
-81.04273329,78.79884114
-81.24267187,78.79388476
-81.44260870,78.78885864
-81.64254113,78.78365971
-81.84246986,78.77832098
-82.04240581,78.77326172
-82.24233941,78.76809856
-82.44225928,78.76243564
-82.64216722,78.75636617
-82.84208707,78.75070002
-83.04201960,78.74550599
-83.24195183,78.74029990
-83.44188174,78.73500569
-83.64181406,78.72980228
-83.84175468,78.72493022
-84.04170967,78.72068499
-84.24167405,78.71690259
-84.44164588,78.71354854
-84.64161908,78.71022902
-84.84157200,78.70594686
-85.04150169,78.70061972
-85.24142913,78.69521527
-85.44137341,78.69050522
-85.64132722,78.68619205
-85.84127607,78.68167772
-86.04121550,78.67675522
-86.24116355,78.67219908
-86.44112681,78.66836793
-86.64108929,78.66449170
-86.84104396,78.66023111
-87.04099662,78.65587751
