tensor(-1.9853, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6694, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.8255, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.9469, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.5172, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.1347, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.0062, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.5976, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.9769, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.5497, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.1429, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6414, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.6848, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-2.0138, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.5932, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.0830, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.3923, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.3603, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-2.0589, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.6087, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.1067, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6950, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.4496, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-2.0723, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.6418, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.9786, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6606, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.3521, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-2.0674, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.6919, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4328, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6323, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.2607, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.6988, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.6948, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.5935, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6781, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.2856, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(2.3544, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.7321, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.1549, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.8233, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.6165, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.6253, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.7643, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.7787, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.8368, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.6472, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.5839, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.7293, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.2516, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.7869, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.6099, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.6761, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.5457, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.0453, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.8524, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.6346, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.7822, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.1317, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.2205, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.9221, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.6519, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.8537, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.3096, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.2030, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.9661, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.6933, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.0120, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.4796, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.2331, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.9733, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.7345, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.1680, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.7697, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.3430, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-2.0256, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.7346, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.2804, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.6323, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.3034, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-2.0858, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.7618, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.3477, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.6684, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.4332, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-2.1544, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.7917, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.3845, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.7276, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.3517, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-2.2017, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.8183, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.4064, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.7666, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-2.3870, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-2.2166, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.8325, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.4330, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.7579, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.8709, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.8626, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.4633, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.8354, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.8785, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(3.1285e+11, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(6.8697e+11, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(3.4759e+11, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(5.4179e+11, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(4.3446e+11, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.1106, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.6347, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.6306, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.6055, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.6395, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(0.3690, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.2470, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.2434, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(0.9741, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.3719, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(0.1350, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.1979, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.4861, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(3.0075, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.4741, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.1446, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.5975, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(2.1644, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.6778, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.3113, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.1887, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.7019, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(2.0120, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.7791, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.5099, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.2771, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.7155, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(1.6084, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.9345, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.6944, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.4339, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.8614, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(0.9642, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-0.7726, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.8757, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.5838, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.9353, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(0.7887, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.0431, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-0.9227, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.6910, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.9986, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(0.8896, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.0295, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.0093, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(0.2059, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.0804, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(0.2513, device='cuda:0', grad_fn=<MeanBackward0>), 3
